nuts3;nuts2;bidding_zone
FR532;FR53;FR
FR533;FR53;FR
FR534;FR53;FR
FR611;FR61;FR
FR612;FR61;FR
FR613;FR61;FR
FR614;FR61;FR
FR615;FR61;FR
FR621;FR62;FR
FR622;FR62;FR
FR623;FR62;FR
FR624;FR62;FR
FR625;FR62;FR
FR626;FR62;FR
FR627;FR62;FR
FR628;FR62;FR
FR631;FR63;FR
FR632;FR63;FR
FR633;FR63;FR
FR711;FR71;FR
FR712;FR71;FR
FR713;FR71;FR
FR714;FR71;FR
FR715;FR71;FR
FR716;FR71;FR
FR717;FR71;FR
FR718;FR71;FR
FR721;FR72;FR
FR722;FR72;FR
FR723;FR72;FR
FR724;FR72;FR
FR811;FR81;FR
FR812;FR81;FR
FR813;FR81;FR
FR814;FR81;FR
FR815;FR81;FR
FR821;FR82;FR
FR822;FR82;FR
FR823;FR82;FR
FR824;FR82;FR
FR825;FR82;FR
FR826;FR82;FR
FR831;FR83;FR
FR832;FR83;FR
HR031;HR03;HR
HR032;HR03;HR
HR033;HR03;HR
HR034;HR03;HR
HR035;HR03;HR
HR036;HR03;HR
HR037;HR03;HR
HR041;HR04;HR
HR042;HR04;HR
HR043;HR04;HR
HR044;HR04;HR
HR045;HR04;HR
HR046;HR04;HR
HR047;HR04;HR
HR048;HR04;HR
HR049;HR04;HR
HR04A;HR04;HR
HR04B;HR04;HR
HR04C;HR04;HR
HR04D;HR04;HR
HR04E;HR04;HR
HU101;HU10;HU
HU102;HU10;HU
HU211;HU21;HU
HU212;HU21;HU
HU213;HU21;HU
HU221;HU22;HU
HU222;HU22;HU
HU223;HU22;HU
HU231;HU23;HU
HU232;HU23;HU
HU233;HU23;HU
HU311;HU31;HU
HU312;HU31;HU
HU313;HU31;HU
HU321;HU32;HU
HU322;HU32;HU
HU323;HU32;HU
HU331;HU33;HU
HU332;HU33;HU
HU333;HU33;HU
IE011;IE01;IE
IE012;IE01;IE
IE013;IE01;IE
IE021;IE02;IE
IE022;IE02;IE
IE023;IE02;IE
IE024;IE02;IE
IE025;IE02;IE
KS111;KS11;KS
LT001;LT00;LT
LT002;LT00;LT
LT003;LT00;LT
LT004;LT00;LT
LT005;LT00;LT
LT006;LT00;LT
LT007;LT00;LT
LT008;LT00;LT
LT009;LT00;LT
LT00A;LT00;LT
LU000;LU00;DE_LU
LV003;LV00;LV
LV005;LV00;LV
LV006;LV00;LV
LV007;LV00;LV
LV008;LV00;LV
LV009;LV00;LV
MD111;MD11;MD
ME111;ME11;ME
MK001;MK00;MK
MK002;MK00;MK
MK003;MK00;MK
MK004;MK00;MK
MK005;MK00;MK
MK006;MK00;MK
MK007;MK00;MK
MK008;MK00;MK
MT001;MT00;MT
MT002;MT00;MT
NL111;NL11;NL
NL112;NL11;NL
NL113;NL11;NL
NL121;NL12;NL
NL122;NL12;NL
NL123;NL12;NL
NL131;NL13;NL
NL132;NL13;NL
NL133;NL13;NL
NL211;NL21;NL
NL212;NL21;NL
NL213;NL21;NL
NL221;NL22;NL
NL224;NL22;NL
NL225;NL22;NL
NL226;NL22;NL
NL230;NL23;NL
NL310;NL31;NL
NL321;NL32;NL
NL322;NL32;NL
NL323;NL32;NL
NL324;NL32;NL
NL325;NL32;NL
NL326;NL32;NL
NL327;NL32;NL
NL332;NL33;NL
NL333;NL33;NL
NL337;NL33;NL
NL338;NL33;NL
NL339;NL33;NL
NL33A;NL33;NL
NL341;NL34;NL
NL342;NL34;NL
NL411;NL41;NL
NL412;NL41;NL
NL413;NL41;NL
NL414;NL41;NL
NL421;NL42;NL
NL422;NL42;NL
NL423;NL42;NL
PL113;PL11;PL
PL114;PL11;PL
PL115;PL11;PL
PL116;PL11;PL
PL117;PL11;PL
PL127;PL12;PL
PL128;PL12;PL
PL129;PL12;PL
PL12A;PL12;PL
PL12B;PL12;PL
PL12C;PL12;PL
PL12D;PL12;PL
PL12E;PL12;PL
PL213;PL21;PL
PL214;PL21;PL
PL217;PL21;PL
PL218;PL21;PL
PL219;PL21;PL
PL21A;PL21;PL
PL224;PL22;PL
PL225;PL22;PL
PL227;PL22;PL
